# Source:  “PhotochemCAD 3: Diverse Modules for Photophysical Calculations with Access to Multiple Spectral Databases,”Taniguchi, M.; Du, H.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 277–289. 
# Source:  “Database of Absorption and Fluorescence Spectra of >300 Common Compounds for Use in PhotochemCAD,” Taniguchi, M.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 290–327.
# Date Accessed: 20 Jan 2021
Wavelength (nm)	T16 BChl a abs e
623.60	2432.9
623.80	2437.7
624.00	2495.8
624.20	2454.7
624.40	2471.6
624.60	2449.8
624.80	2432.9
625.00	2435.3
625.20	2457.1
625.40	2437.7
625.60	2466.8
625.80	2445.0
626.00	2454.7
626.20	2500.7
626.40	2466.8
626.60	2510.4
626.80	2488.6
627.00	2360.3
627.20	2478.9
627.40	2527.3
627.60	2464.4
627.80	2457.1
628.00	2486.2
628.20	2503.1
628.40	2481.3
628.60	2510.4
628.80	2539.4
629.00	2498.3
629.20	2486.2
629.40	2517.6
629.60	2507.9
629.80	2546.7
630.00	2563.6
630.20	2524.9
630.40	2529.7
630.60	2583.0
630.80	2570.9
631.00	2549.1
631.20	2597.5
631.40	2556.4
631.60	2590.3
631.80	2602.4
632.00	2612.0
632.20	2590.3
632.40	2609.6
632.60	2641.1
632.80	2614.5
633.00	2633.8
633.20	2665.3
633.40	2670.1
633.60	2672.6
633.80	2672.6
634.00	2675.0
634.20	2655.6
634.40	2677.4
634.60	2682.2
634.80	2699.2
635.00	2665.3
635.20	2691.9
635.40	2750.0
635.60	2764.6
635.80	2788.8
636.00	2764.6
636.20	2771.8
636.40	2762.1
636.60	2771.8
636.80	2771.8
637.00	2774.2
637.20	2786.3
637.40	2781.5
637.60	2791.2
637.80	2844.4
638.00	2849.3
638.20	2829.9
638.40	2854.1
638.60	2856.5
638.80	2851.7
639.00	2859.0
639.20	2846.9
639.40	2854.1
639.60	2897.7
639.80	2912.2
640.00	2863.8
640.20	2912.2
640.40	2914.6
640.60	2953.4
640.80	2917.1
641.00	2946.1
641.20	2941.3
641.40	2943.7
641.60	2965.5
641.80	2999.4
642.00	2967.9
642.20	2989.7
642.40	3030.8
642.60	3018.7
642.80	2994.5
643.00	3040.5
643.20	3033.3
643.40	3033.3
643.60	3030.8
643.80	3021.2
644.00	3045.4
644.20	3098.6
644.40	3113.1
644.60	3064.7
644.80	3069.6
645.00	3110.7
645.20	3103.5
645.40	3120.4
645.60	3118.0
645.80	3147.0
646.00	3122.8
646.20	3120.4
646.40	3147.0
646.60	3173.7
646.80	3200.3
647.00	3205.1
647.20	3168.8
647.40	3159.1
647.60	3219.7
647.80	3229.3
648.00	3190.6
648.20	3164.0
648.40	3248.7
648.60	3217.2
648.80	3219.7
649.00	3214.8
649.20	3207.6
649.40	3224.5
649.60	3248.7
649.80	3306.8
650.00	3248.7
650.20	3222.1
650.40	3251.1
650.60	3217.2
650.80	3282.6
651.00	3265.7
651.20	3304.4
651.40	3292.3
651.60	3311.7
651.80	3275.3
652.00	3381.9
652.20	3280.2
652.40	3350.4
652.60	3357.6
652.80	3318.9
653.00	3304.4
653.20	3381.9
653.40	3287.4
653.60	3352.8
653.80	3379.4
654.00	3362.5
654.20	3369.8
654.40	3350.4
654.60	3386.7
654.80	3326.2
655.00	3386.7
655.20	3391.5
655.40	3398.8
655.60	3437.5
655.80	3420.6
656.00	3444.8
656.20	3408.5
656.40	3420.6
656.60	3449.6
656.80	3418.2
657.00	3425.4
657.20	3483.5
657.40	3423.0
657.60	3495.6
657.80	3459.3
658.00	3464.2
658.20	3435.1
658.40	3505.3
658.60	3522.3
658.80	3536.8
659.00	3519.8
659.20	3529.5
659.40	3534.4
659.60	3515.0
659.80	3536.8
660.00	3505.3
660.20	3548.9
660.40	3592.5
660.60	3580.4
660.80	3563.4
661.00	3636.0
661.20	3490.8
661.40	3558.6
661.60	3597.3
661.80	3577.9
662.00	3616.7
662.20	3585.2
662.40	3582.8
662.60	3619.1
662.80	3568.3
663.00	3607.0
663.20	3597.3
663.40	3565.8
663.60	3607.0
663.80	3594.9
664.00	3686.9
664.20	3643.3
664.40	3682.0
664.60	3631.2
664.80	3662.7
665.00	3679.6
665.20	3715.9
665.40	3715.9
665.60	3829.7
665.80	3805.5
666.00	3807.9
666.20	3861.2
666.40	3868.4
666.60	3883.0
666.80	3914.4
667.00	3885.4
667.20	3955.6
667.40	3899.9
667.60	3948.3
667.80	3948.3
668.00	3948.3
668.20	3982.2
668.40	3991.9
668.60	4059.7
668.80	4125.0
669.00	4062.1
669.20	4081.5
669.40	4105.7
669.60	4120.2
669.80	4122.6
670.00	4134.7
670.20	4197.7
670.40	4173.5
670.60	4112.9
670.80	4219.5
671.00	4231.6
671.20	4197.7
671.40	4294.5
671.60	4282.4
671.80	4272.7
672.00	4289.7
672.20	4309.0
672.40	4362.3
672.60	4359.9
672.80	4449.4
673.00	4427.6
673.20	4466.4
673.40	4485.7
673.60	4519.6
673.80	4512.4
674.00	4507.5
674.20	4558.4
674.40	4563.2
674.60	4597.1
674.80	4638.2
675.00	4647.9
675.20	4698.8
675.40	4732.7
675.60	4727.8
675.80	4783.5
676.00	4815.0
676.20	4815.0
676.40	4897.3
676.60	4870.6
676.80	4960.2
677.00	4974.7
677.20	4969.9
677.40	4998.9
677.60	5078.8
677.80	5054.6
678.00	5100.6
678.20	5100.6
678.40	5182.9
678.60	5185.3
678.80	5243.4
679.00	5291.9
679.20	5253.1
679.40	5318.5
679.60	5359.6
679.80	5383.9
680.00	5415.3
680.20	5420.2
680.40	5458.9
680.60	5480.7
680.80	5550.9
681.00	5609.0
681.20	5604.1
681.40	5630.8
681.60	5667.1
681.80	5696.1
682.00	5771.2
682.20	5785.7
682.40	5848.6
682.60	5901.9
682.80	5889.8
683.00	5969.7
683.20	5972.1
683.40	6015.7
683.60	6052.0
683.80	6117.4
684.00	6146.4
684.20	6158.5
684.40	6192.4
684.60	6243.2
684.80	6286.8
685.00	6315.9
685.20	6357.0
685.40	6400.6
685.60	6478.1
685.80	6487.7
686.00	6555.5
686.20	6565.2
686.40	6676.6
686.60	6683.8
686.80	6715.3
687.00	6824.2
687.20	6780.7
687.40	6867.8
687.60	6875.1
687.80	6916.2
688.00	6938.0
688.20	7025.2
688.40	7097.8
688.60	7080.8
688.80	7172.8
689.00	7255.1
689.20	7296.3
689.40	7310.8
689.60	7337.4
689.80	7385.9
690.00	7414.9
690.20	7511.7
690.40	7552.9
690.60	7579.5
690.80	7632.8
691.00	7695.7
691.20	7698.1
691.40	7780.4
691.60	7850.6
691.80	7879.7
692.00	7933.0
692.20	7896.6
692.40	7954.7
692.60	7949.9
692.80	8058.8
693.00	8097.6
693.20	8109.7
693.40	8223.5
693.60	8269.4
693.80	8254.9
694.00	8349.3
694.20	8414.7
694.40	8451.0
694.60	8477.6
694.80	8535.7
695.00	8545.4
695.20	8649.5
695.40	8683.4
695.60	8731.8
695.80	8785.1
696.00	8879.5
696.20	8969.1
696.40	8961.8
696.60	9036.8
696.80	9056.2
697.00	9131.2
697.20	9220.8
697.40	9201.5
697.60	9259.6
697.80	9344.3
698.00	9341.9
698.20	9392.7
698.40	9477.4
698.60	9542.8
698.80	9559.7
699.00	9610.6
699.20	9654.1
699.40	9666.2
699.60	9748.6
699.80	9784.9
700.00	9833.3
700.20	9847.8
700.40	9932.5
700.60	9944.6
700.80	10027
701.00	10087
701.20	10097
701.40	10204
701.60	10211
701.80	10201
702.00	10284
702.20	10313
702.40	10269
702.60	10397
702.80	10414
703.00	10468
703.20	10489
703.40	10484
703.60	10550
703.80	10598
704.00	10652
704.20	10698
704.40	10707
704.60	10722
704.80	10816
705.00	10768
705.20	10843
705.40	10855
705.60	10925
705.80	10908
706.00	10957
706.20	11000
706.40	10988
706.60	11056
706.80	11124
707.00	11124
707.20	11179
707.40	11104
707.60	11167
707.80	11153
708.00	11179
708.20	11184
708.40	11225
708.60	11291
708.80	11298
709.00	11324
709.20	11366
709.40	11358
709.60	11441
709.80	11385
710.00	11448
710.20	11504
710.40	11489
710.60	11511
710.80	11547
711.00	11521
711.20	11574
711.40	11557
711.60	11564
711.80	11605
712.00	11630
712.20	11637
712.40	11608
712.60	11702
712.80	11683
713.00	11680
713.20	11700
713.40	11692
713.60	11700
713.80	11692
714.00	11659
714.20	11717
714.40	11717
714.60	11736
714.80	11770
715.00	11719
715.20	11789
715.40	11751
715.60	11787
715.80	11751
716.00	11758
716.20	11765
716.40	11753
716.60	11688
716.80	11748
717.00	11748
717.20	11722
717.40	11714
717.60	11746
717.80	11743
718.00	11792
718.20	11751
718.40	11748
718.60	11830
718.80	11816
719.00	11889
719.20	11867
719.40	11867
719.60	11879
719.80	11874
720.00	11908
720.20	11828
720.40	11850
720.60	11855
720.80	11845
721.00	11843
721.20	11913
721.40	11862
721.60	11855
721.80	11893
722.00	11910
722.20	11876
722.40	11918
722.60	11889
722.80	11905
723.00	11951
723.20	11935
723.40	11944
723.60	11913
723.80	11961
724.00	11966
724.20	11959
724.40	11993
724.60	11966
724.80	12014
725.00	12000
725.20	12019
725.40	12029
725.60	12060
725.80	12126
726.00	12070
726.20	12102
726.40	12203
726.60	12174
726.80	12106
727.00	12087
727.20	12099
727.40	12148
727.60	12172
727.80	12198
728.00	12194
728.20	12261
728.40	12254
728.60	12295
728.80	12344
729.00	12358
729.20	12428
729.40	12428
729.60	12474
729.80	12612
730.00	12627
730.20	12622
730.40	12707
730.60	12697
730.80	12779
731.00	12779
731.20	12830
731.40	12867
731.60	12946
731.80	12968
732.00	13046
732.20	13070
732.40	13205
732.60	13191
732.80	13218
733.00	13307
733.20	13351
733.40	13382
733.60	13448
733.80	13481
734.00	13615
734.20	13661
734.40	13711
734.60	13769
734.80	13866
735.00	13983
735.20	14053
735.40	14116
735.60	14246
735.80	14336
736.00	14389
736.20	14396
736.40	14559
736.60	14607
736.80	14702
737.00	14825
737.20	14905
737.40	15026
737.60	15065
737.80	15220
738.00	15307
738.20	15367
738.40	15500
738.60	15469
738.80	15643
739.00	15774
739.20	15873
739.40	15997
739.60	16115
739.80	16219
740.00	16316
740.20	16432
740.40	16609
740.60	16694
740.80	16841
741.00	16955
741.20	17088
741.40	17200
741.60	17381
741.80	17466
742.00	17633
742.20	17812
742.40	17943
742.60	18100
742.80	18229
743.00	18420
743.20	18652
743.40	18793
743.60	18952
743.80	19158
744.00	19284
744.20	19470
744.40	19599
744.60	19807
744.80	20010
745.00	20175
745.20	20361
745.40	20543
745.60	20763
745.80	20974
746.00	21189
746.20	21325
746.40	21550
746.60	21777
746.80	21995
747.00	22221
747.20	22472
747.40	22654
747.60	22886
747.80	23140
748.00	23361
748.20	23593
748.40	23884
748.60	24133
748.80	24394
749.00	24581
749.20	24840
749.40	25058
749.60	25343
749.80	25585
750.00	25847
750.20	26186
750.40	26423
750.60	26784
750.80	27069
751.00	27379
751.20	27754
751.40	28013
751.60	28326
751.80	28640
752.00	28958
752.20	29231
752.40	29623
752.60	29936
752.80	30260
753.00	30647
753.20	30962
753.40	31337
753.60	31732
753.80	32117
754.00	32458
754.20	32836
754.40	33240
754.60	33603
754.80	33959
755.00	34402
755.20	34746
755.40	35177
755.60	35559
755.80	35980
756.00	36416
756.20	36874
756.40	37239
756.60	37702
756.80	38207
757.00	38646
757.20	39120
757.40	39549
757.60	39992
757.80	40476
758.00	40873
758.20	41439
758.40	41897
758.60	42398
758.80	42870
759.00	43402
759.20	43850
759.40	44359
759.60	44923
759.80	45412
760.00	45935
760.20	46409
760.40	46956
760.60	47433
760.80	48014
761.00	48547
761.20	49099
761.40	49592
761.60	50171
761.80	50723
762.00	51270
762.20	51805
762.40	52454
762.60	52921
762.80	53497
763.00	54090
763.20	54681
763.40	55264
763.60	55877
763.80	56422
764.00	56935
764.20	57557
764.40	58196
764.60	58746
764.80	59322
765.00	59949
765.20	60527
765.40	61120
765.60	61810
765.80	62357
766.00	62958
766.20	63507
766.40	64132
766.60	64744
766.80	65376
767.00	65964
767.20	66562
767.40	67155
767.60	67734
767.80	68317
768.00	68927
768.20	69554
768.40	70123
768.60	70721
768.80	71346
769.00	71898
769.20	72462
769.40	73023
769.60	73607
769.80	74166
770.00	74720
770.20	75345
770.40	75836
770.60	76362
770.80	76972
771.00	77499
771.20	78032
771.40	78579
771.60	79114
771.80	79627
772.00	80141
772.20	80634
772.40	81080
772.60	81617
772.80	82101
773.00	82578
773.20	83029
773.40	83505
773.60	83961
773.80	84401
774.00	84849
774.20	85285
774.40	85677
774.60	86096
774.80	86483
775.00	86936
775.20	87221
775.40	87621
775.60	87955
775.80	88303
776.00	88584
776.20	88921
776.40	89252
776.60	89511
776.80	89775
777.00	90020
777.20	90243
777.40	90424
777.60	90671
777.80	90877
778.00	91092
778.20	91247
778.40	91392
778.60	91509
778.80	91610
779.00	91731
779.20	91884
779.40	91959
779.60	91939
779.80	91985
780.00	91981
780.20	92000
780.40	91959
780.60	91923
780.80	91831
781.00	91736
781.20	91697
781.40	91513
781.60	91463
781.80	91269
782.00	91085
782.20	90899
782.40	90698
782.60	90410
782.80	90153
783.00	89913
783.20	89640
783.40	89303
783.60	88986
783.80	88608
784.00	88228
784.20	87839
784.40	87384
784.60	86972
784.80	86553
785.00	86052
785.20	85578
785.40	85057
785.60	84551
785.80	83982
786.00	83384
786.20	82799
786.40	82205
786.60	81532
786.80	81007
787.00	80363
787.20	79644
787.40	79008
787.60	78247
787.80	77541
788.00	76744
788.20	76049
788.40	75246
788.60	74464
788.80	73643
789.00	72835
789.20	72096
789.40	71217
789.60	70365
789.80	69506
790.00	68651
790.20	67821
790.40	66913
790.60	65986
790.80	65061
791.00	64192
791.20	63280
791.40	62333
791.60	61382
791.80	60493
792.00	59605
792.20	58620
792.40	57765
792.60	56770
792.80	55828
793.00	54904
793.20	53950
793.40	53069
793.60	52108
793.80	51144
794.00	50285
794.20	49312
794.40	48384
794.60	47440
794.80	46504
795.00	45610
795.20	44661
795.40	43766
795.60	42923
795.80	41979
796.00	41030
796.20	40231
796.40	39326
796.60	38450
796.80	37639
797.00	36808
797.20	35983
797.40	35220
797.60	34368
797.80	33569
798.00	32770
798.20	32044
798.40	31233
798.60	30519
798.80	29703
799.00	29013
799.20	28272
799.40	27619
799.60	26907
799.80	26261
800.00	25522
800.20	24934
800.40	24273
800.60	23654
800.80	23019
801.00	22421
801.20	21826
801.40	21293
801.60	20741
801.80	20141
802.00	19623
802.20	19061
802.40	18563
802.60	18057
802.80	17606
803.00	17125
803.20	16604
803.40	16231
803.60	15755
803.80	15343
804.00	14939
804.20	14520
804.40	14118
804.60	13716
804.80	13322
805.00	12985
805.20	12685
805.40	12266
805.60	11985
805.80	11651
806.00	11317
806.20	11019
806.40	10714
806.60	10434
806.80	10119
807.00	9847.8
807.20	9591.2
807.40	9383.0
807.60	9097.4
807.80	8860.1
808.00	8671.3
808.20	8407.4
808.40	8189.6
808.60	7971.7
808.80	7736.9
809.00	7545.6
809.20	7339.9
809.40	7097.8
809.60	6976.7
809.80	6787.9
810.00	6613.6
810.20	6439.3
810.40	6294.1
810.60	6158.5
810.80	6020.5
811.00	5877.7
811.20	5739.7
811.40	5538.8
811.60	5442.0
811.80	5301.5
812.00	5146.6
812.20	5095.8
812.40	4894.9
812.60	4824.6
812.80	4737.5
813.00	4614.0
813.20	4495.4
813.40	4401.0
813.60	4243.7
813.80	4173.5
814.00	4110.5
814.20	4033.0
814.40	3892.6
814.60	3834.5
814.80	3788.5
815.00	3636.0
815.20	3650.6
815.40	3495.6
815.60	3495.6
815.80	3381.9
816.00	3314.1
816.20	3289.9
816.40	3149.5
816.60	3115.6
816.80	3088.9
817.00	3006.6
817.20	2946.1
817.40	2929.2
817.60	2856.5
817.80	2810.5
818.00	2759.7
818.20	2691.9
818.40	2658.0
818.60	2575.7
818.80	2558.8
819.00	2495.8
819.20	2515.2
819.40	2403.9
819.60	2423.2
819.80	2355.4
820.00	2348.2
820.20	2282.8
820.40	2229.6
820.60	2224.7
820.80	2195.7
821.00	2123.0
821.20	2089.1
821.40	2113.4
821.60	2033.5
821.80	2031.0
822.00	1994.7
822.20	1883.4
822.40	1910.0
822.60	1856.8
822.80	1859.2
823.00	1762.3
823.20	1822.9
823.40	1755.1
823.60	1716.3
823.80	1697.0
824.00	1675.2
824.20	1653.4
824.40	1634.0
824.60	1626.8
824.80	1585.6
825.00	1585.6
825.20	1513.0
825.40	1508.2
825.60	1491.2
825.80	1500.9
826.00	1440.4
826.20	1459.7
826.40	1428.3
826.60	1471.8
826.80	1319.3
827.00	1358.1
827.20	1399.2
827.40	1290.3
827.60	1312.1
827.80	1302.4
828.00	1254.0
828.20	1263.7
828.40	1278.2
828.60	1263.7
828.80	1222.5
829.00	1159.6
829.20	1193.5
829.40	1203.1
829.60	1147.5
829.80	1205.6
830.00	1108.7
830.20	1152.3
830.40	1082.1
830.60	1103.9
830.80	1089.4
831.00	1043.4
831.20	1016.7
831.40	1002.2
831.60	987.69
831.80	1021.6
832.00	1079.7
832.20	1050.6
832.40	992.53
832.60	1011.9
832.80	936.85
833.00	1007.1
833.20	951.37
833.40	888.43
833.60	958.64
833.80	815.81
834.00	869.07
834.20	948.95
834.40	922.32
834.60	898.12
834.80	825.49
835.00	869.07
835.20	832.75
835.40	835.18
835.60	796.44
835.80	825.49
836.00	815.81
836.20	784.34
836.40	798.86
836.60	791.60
836.80	774.66
837.00	706.87
837.20	687.51
837.40	772.23
837.60	738.34
837.80	813.39
838.00	704.45
838.20	755.29
838.40	709.29
838.60	723.82
838.80	687.51
839.00	757.71
839.20	714.14
839.40	728.66
839.60	716.56
839.80	610.04
840.00	646.35
840.20	643.93
840.40	641.51
840.60	602.78
840.80	617.30
841.00	636.67
841.20	653.62
841.40	602.78
841.60	605.20
841.80	687.51
842.00	668.14
842.20	522.89
842.40	624.57
842.60	593.10
842.80	532.58
843.00	626.99
843.20	619.72
843.40	564.05
843.60	600.36
843.80	503.53
844.00	532.58
844.20	503.53
844.40	501.11
844.60	479.32
844.80	532.58
845.00	445.43
845.20	532.58
845.40	513.21
845.60	459.95
845.80	505.95
846.00	510.79
846.20	426.06
846.40	556.78
846.60	457.53
846.80	440.59
847.00	455.11
847.20	401.85
847.40	503.53
847.60	496.26
847.80	489.00
848.00	450.27
848.20	491.42
848.40	498.68
848.60	440.59
848.80	445.43
849.00	484.16
849.20	435.74
849.40	498.68
849.60	428.48
849.80	452.69
850.00	464.79
850.20	457.53
850.40	491.42
850.60	423.64
850.80	375.22
851.00	394.59
851.20	416.38
851.40	445.43
851.60	406.69
851.80	430.90
852.00	360.70
852.20	428.48
852.40	399.43
852.60	409.11
852.80	365.54
853.00	363.12
853.20	360.70
853.40	365.54
853.60	406.69
853.80	401.85
854.00	336.49
854.20	302.60
854.40	305.02
854.60	278.39
854.80	331.65
855.00	397.01
855.20	348.59
855.40	324.39
855.60	259.03
855.80	365.54
856.00	275.97
856.20	314.70
856.40	292.92
856.60	321.97
856.80	312.28
857.00	353.44
857.20	256.60
857.40	292.92
857.60	324.39
857.80	380.07
858.00	251.76
858.20	380.07
858.40	285.65
858.60	280.81
858.80	285.65
859.00	290.50
859.20	360.70
859.40	297.76
859.60	302.60
859.80	363.12
860.00	372.80
860.20	297.76
860.40	331.65
860.60	288.07
860.80	305.02
861.00	372.80
861.20	413.96
861.40	290.50
861.60	271.13
861.80	353.44
862.00	288.07
862.20	278.39
862.40	319.55
862.60	234.82
862.80	283.23
863.00	329.23
863.20	326.81
863.40	341.33
863.60	375.22
863.80	249.34
864.00	324.39
864.20	246.92
864.40	392.17
864.60	329.23
864.80	326.81
865.00	256.60
865.20	365.54
865.40	389.75
865.60	399.43
865.80	384.91
866.00	295.34
866.20	399.43
866.40	377.64
866.60	351.02
866.80	341.33
867.00	462.37
867.20	399.43
867.40	416.38
867.60	484.16
867.80	459.95
868.00	421.22
868.20	433.32
868.40	389.75
868.60	450.27
868.80	452.69
869.00	467.21
869.20	520.47
869.40	411.54
869.60	455.11
869.80	484.16
870.00	476.90
870.20	447.85
870.40	382.49
870.60	452.69
870.80	491.42
871.00	522.89
871.20	496.26
871.40	406.69
871.60	435.74
871.80	382.49
872.00	457.53
872.20	440.59
872.40	428.48
872.60	464.79
872.80	493.84
873.00	532.58
873.20	464.79
873.40	321.97
873.60	510.79
873.80	334.07
874.00	539.84
874.20	365.54
874.40	459.95
874.60	387.33
874.80	406.69
875.00	433.32
875.20	445.43
875.40	423.64
875.60	428.48
875.80	459.95
876.00	443.01
876.20	321.97
876.40	443.01
876.60	397.01
876.80	464.79
877.00	392.17
877.20	370.38
877.40	329.23
877.60	341.33
877.80	406.69
878.00	406.69
878.20	428.48
878.40	331.65
878.60	334.07
878.80	246.92
879.00	297.76
879.20	225.13
879.40	121.04
879.60	196.08
879.80	227.56
880.00	133.14
880.20	251.76
880.40	162.19
880.60	319.55
880.80	167.04
881.00	242.08
881.20	169.46
881.40	266.29
881.60	58.099
881.80	84.728
882.00	191.24
882.20	268.71
882.40	181.56
882.60	220.29
882.80	268.71
883.00	222.71
883.20	280.81
883.40	229.98
883.60	275.97
883.80	334.07
884.00	319.55
884.20	203.35
884.40	174.30
884.60	108.94
884.80	91.990
885.00	450.27
885.20	329.23
885.40	171.88
885.60	348.59
885.80	290.50
886.00	130.72
886.20	229.98
886.40	377.64
886.60	455.11
886.80	409.11
887.00	384.91
887.20	183.98
887.40	314.70
887.60	256.60
887.80	343.75
888.00	259.03
888.20	237.24
888.40	275.97
888.60	84.728
888.80	77.466
889.00	305.02
889.20	256.60
889.40	106.52
889.60	445.43
889.80	501.11
890.00	174.30
890.20	121.04
890.40	48.416
890.60	191.24
890.80	246.92
891.00	275.97
891.20	275.97
891.40	179.14
891.60	341.33
891.80	145.25
892.00	145.25
892.20	513.21
892.40	220.29
892.60	87.149
892.80	271.13
893.00	312.28
893.20	532.58
893.40	229.98
893.60	614.88
893.80	530.15
894.00	355.86
894.20	179.14
894.40	137.99
894.60	305.02
894.80	58.099
895.00	380.07
895.20	203.35
895.40	360.70
895.60	397.01
895.80	193.66
896.00	348.59
896.20	476.90
896.40	585.83
896.60	380.07
896.80	384.91
897.00	445.43
897.20	31.470
897.40	275.97
897.60	246.92
897.80	319.55
898.00	404.27
898.20	312.28
898.40	121.04
898.60	227.56
898.80	493.84
899.00	203.35
899.20	501.11
899.40	641.51
899.60	472.06
899.80	522.89
900.00	222.71
